index,day,num,word,kor0,part0,kor1,part1
0,1,1,resume,이력서,n,,
1,1,2,opening,"공석, 결원; 개장, 개시",n,,
2,1,3,applicant,"지원자, 시청자",n,,
3,1,4,requirement,"필요조건, 요건",n,,
4,1,5,meet,"(필요,요구 등을)만족시키다",v,,
5,1,6,qualified,"자격 있는, 적격의",adj,,
6,1,7,candidate,"후보자, 지원자",n,,
7,1,8,confidence,"확신, 자신; 신임",n,,
8,1,9,highly,"매우, 대단히",adv,,
9,1,10,professional,"전문적인, 직업의",adj,전문가,n
10,1,11,interview,면접,n,면접을 보다,v
11,1,12,hire,고용하다,v,,
12,1,13,training,"교육, 훈련",n,,
13,1,14,reference,추천서; 참고,n,,
14,1,15,position,"일자릭, 직책",n,두다,v
15,1,16,achievement,"성취, 달성",n,,
16,1,17,impressed,"인상 깊게 생각하는, 감명을 받은",adj,,
17,1,18,excellent,"훌륭한, 탁월한",adj,,
18,1,19,eligible,"자격이 있는, 적격의",adj,,
19,1,20,identify,"알아보다, 확인하다",v,,
20,1,21,associate,관련시키다,v,,
21,1,22,condition,조건,n,,
22,1,23,employment,고용,n,,
23,1,24,lack,~이 없다,v,부족,n
24,1,25,managerial,관리의,adj,,
25,1,26,diligent,성실한,adj,,
26,1,27,familiar,"익숙한, 친숙한",adj,,
27,1,28,proficiency,"숙달, 능숙",n,,
28,1,29,prospective,"장래의, 미래의",adj,,
29,1,30,appeal,"관심을 끌다, 매력적이다",v,,
30,1,31,specialize,"~을 전공하다, 전문적으로 다루다",v,,
31,1,32,apprehensive,"걱정하는, 염려하는",adj,,
32,1,33,consultant,"고문, 컨설턴트",n,,
33,1,34,entitle,자격을 주다,v,,
34,1,35,degree,학위,n,,
35,1,36,payroll,"임금 대장, 급료 명부",n,,
36,1,37,recruit,(신입 사원 등을) 모집하다,v,,
37,1,38,certification,"증명서, 증명",n,,
38,1,39,occupation,직업,n,,
39,1,40,wage,"임금, 급료",n,,
40,2,1,attire,"복장, 옷차림 새",n,,
41,2,2,code,"규범, 관례; 암호",n,,
42,2,3,concern,"우려, 걱정; 문제, 일",n,~을 걱정스럽게 하다. 영향을 미치다. 관련되다,v
43,2,4,policy,규정; 보험 증권,n,,
44,2,5,comply,"준수하다, 따르다",v,,
45,2,6,requlation,규정,n,,
46,2,7,exception,예외,n,,
47,2,8,adhere,"지키다, 고수하다",v,,
48,2,9,severly,"엄격하게, 심하게",adv,,
49,2,10,refrain,"자제하다, 삼가다",v,,
50,2,11,permission,"허락, 허가",n,,
51,2,12,access,"이용 권한, 접근; 통로",n,"~에 접근하다, 도달하다",v
52,2,13,thoroughly,"철저하게; 완전히, 대단히",adv,,
53,2,14,revise,"(의견, 계획을) 수정하다, 변경하다",v,,
54,2,15,approach,"접근법, 처리방법",n,"다가오다, 가까워지다",v
55,2,16,approval,"승인, 허가",n,,
56,2,17,form,"종류, 유형, 양식",n,,
57,2,18,immediately,"즉시, 곧",adv,,
58,2,19,inspection,"점검, 검사",n,,
59,2,20,arrangement,"준비, 마련, 주선",n,,
60,2,21,procedure,절차,n,,
61,2,22,negative,"부정적인, 비관적인",adj,,
62,2,23,mandate,"명령하다, 지시하다",v,"권한, 지시, 명령",n
63,2,24,effect,"(법률 등의) 효력, 효과, 영향",n,결과로서 ~을 가져오다,v
64,2,25,drastically,"심하게, 과감하게, 철저하게",adv,,
65,2,26,according to,~에 따라,phr,,
66,2,27,enable,(무엇을) 가능하게 하다,v,,
67,2,28,standard,"기준, 표준",v,,
68,2,29,constant,"지속적인, 끊임없이 계속하는",adj,,
69,2,30,act,"법령, 결의서; 행위, 행동",n,"결정하다, 판결을 내리다; 행동하다",v
70,2,31,compensation,"보상금, 보상",n,,
71,2,32,ban,금지,n,금지하다,v
72,2,33,obligation,"의무, 책임",n,,
73,2,34,authorize,"~을 인가하다, 권한을 부여하다",v,,
74,2,35,prohibit,금지하다,v,,
75,2,36,abolish,"(제도, 법률 등을) 폐지하다",v,,
76,2,37,enforce,"(법률을) 시행하다, 집행하다",v,,
77,2,38,habit,"습관, 버릇",n,,
78,2,39,legislation,"법률, 법규",n,,
79,2,40,restrict,"한정하다, 제한하다",v,,
